code,country,annex,co2_gg_2022,source
CHN,China,Non-Annex_I,12667428.426816,https://edgar.jrc.ec.europa.eu/dataset_ghg80
USA,United States,Annex_I,4853780.2223991,https://edgar.jrc.ec.europa.eu/dataset_ghg80
IND,India,Non-Annex_I,2693034.1047766,https://edgar.jrc.ec.europa.eu/dataset_ghg80
RUS,Russian Federation,Annex_I,1909039.3106579,https://edgar.jrc.ec.europa.eu/dataset_ghg80
JPN,Japan,Annex_I,1082645.4363453,https://edgar.jrc.ec.europa.eu/dataset_ghg80
IDN,Indonesia,Non-Annex_I,692236.10787942,https://edgar.jrc.ec.europa.eu/dataset_ghg80
IRN,"Iran, Islamic Republic of",Non-Annex_I,686415.72479115,https://edgar.jrc.ec.europa.eu/dataset_ghg80
DEU,Germany,Annex_I,673595.26101559,https://edgar.jrc.ec.europa.eu/dataset_ghg80
KOR,"Korea, Republic of",Non-Annex_I,635502.97805784,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SAU,Saudi Arabia,Non-Annex_I,607907.50819205,https://edgar.jrc.ec.europa.eu/dataset_ghg80
CAN,Canada,Annex_I,582072.9429827,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MEX,Mexico,Non-Annex_I,487774.01219524,https://edgar.jrc.ec.europa.eu/dataset_ghg80
TUR,Turkey,Annex_I,481247.52321821,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BRA,Brazil,Non-Annex_I,466770.39510662,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ZAF,South Africa,Non-Annex_I,404974.51990563,https://edgar.jrc.ec.europa.eu/dataset_ghg80
AUS,Australia,Annex_I,393162.54317948,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GBR,United Kingdom,Annex_I,340610.26873866,https://edgar.jrc.ec.europa.eu/dataset_ghg80
VNM,Viet Nam,Non-Annex_I,327905.61418153,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ITA,Italy,Annex_I,322948.71763854,https://edgar.jrc.ec.europa.eu/dataset_ghg80
POL,Poland,Annex_I,321954.01171096,https://edgar.jrc.ec.europa.eu/dataset_ghg80
FRA,France,Annex_I,315299.47686803,https://edgar.jrc.ec.europa.eu/dataset_ghg80
THA,Thailand,Non-Annex_I,282445.8345966,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MYS,Malaysia,Non-Annex_I,277531.76256268,https://edgar.jrc.ec.europa.eu/dataset_ghg80
TWN,Taiwan_Province of China,Non-Annex_I,275573.9802053,https://edgar.jrc.ec.europa.eu/dataset_ghg80
EGY,Egypt,Non-Annex_I,265961.27289205,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ESP,Spain,Annex_I,254363.4226003,https://edgar.jrc.ec.europa.eu/dataset_ghg80
KAZ,Kazakhstan,Non-Annex_I,245886.29105056,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ARE,United Arab Emirates,Non-Annex_I,218799.34779241,https://edgar.jrc.ec.europa.eu/dataset_ghg80
PAK,Pakistan,Non-Annex_I,199329.85672657,https://edgar.jrc.ec.europa.eu/dataset_ghg80
IRQ,Iraq,Non-Annex_I,193836.31092688,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ARG,Argentina,Non-Annex_I,184037.21168471,https://edgar.jrc.ec.europa.eu/dataset_ghg80
DZA,Algeria,Non-Annex_I,177079.42066441,https://edgar.jrc.ec.europa.eu/dataset_ghg80
PHL,Philippines,Non-Annex_I,155380.93653872,https://edgar.jrc.ec.europa.eu/dataset_ghg80
NLD,Netherlands,Annex_I,134663.63948285,https://edgar.jrc.ec.europa.eu/dataset_ghg80
UKR,Ukraine,Annex_I,132541.4692611,https://edgar.jrc.ec.europa.eu/dataset_ghg80
UZB,Uzbekistan,Non-Annex_I,132433.51326667,https://edgar.jrc.ec.europa.eu/dataset_ghg80
NGA,Nigeria,Non-Annex_I,122750.40323942,https://edgar.jrc.ec.europa.eu/dataset_ghg80
KWT,Kuwait,Non-Annex_I,110119.57513248,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BGD,Bangladesh,Non-Annex_I,109075.28748412,https://edgar.jrc.ec.europa.eu/dataset_ghg80
QAT,Qatar,Non-Annex_I,102617.98211558,https://edgar.jrc.ec.europa.eu/dataset_ghg80
CZE,Czech Republic,Annex_I,101544.65013612,https://edgar.jrc.ec.europa.eu/dataset_ghg80
VEN,Venezuela,Non-Annex_I,96924.939201475,https://edgar.jrc.ec.europa.eu/dataset_ghg80
CHL,Chile,Non-Annex_I,92858.748124863,https://edgar.jrc.ec.europa.eu/dataset_ghg80
OMN,Oman,Non-Annex_I,91649.085294316,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BEL,Belgium,Annex_I,90414.852696919,https://edgar.jrc.ec.europa.eu/dataset_ghg80
COL,Colombia,Non-Annex_I,88469.811804755,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ROU,Romania,Annex_I,77288.999399202,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MAR,Morocco,Non-Annex_I,72642.010915763,https://edgar.jrc.ec.europa.eu/dataset_ghg80
TKM,Turkmenistan,Non-Annex_I,69882.935021098,https://edgar.jrc.ec.europa.eu/dataset_ghg80
LBY,Libyan Arab Jamahiriya,Non-Annex_I,62743.003516831,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ISR,Israel,Non-Annex_I,61771.182592798,https://edgar.jrc.ec.europa.eu/dataset_ghg80
PER,Peru,Non-Annex_I,61610.398331468,https://edgar.jrc.ec.europa.eu/dataset_ghg80
AUT,Austria,Annex_I,61174.534923446,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BLR,Belarus,Annex_I,57411.410000104,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SCG,Serbia and Montenegro,Non-Annex_I,56874.440552595,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GRC,Greece,Annex_I,56777.142459972,https://edgar.jrc.ec.europa.eu/dataset_ghg80
PRK,"Korea, Democratic People's Republic of",Non-Annex_I,54403.772032241,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SGP,Singapore,Non-Annex_I,53439.706734312,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BGR,Bulgaria,Annex_I,50103.294756021,https://edgar.jrc.ec.europa.eu/dataset_ghg80
HUN,Hungary,Annex_I,47291.881569343,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ECU,Ecuador,Non-Annex_I,46106.895987404,https://edgar.jrc.ec.europa.eu/dataset_ghg80
NOR,Norway,Annex_I,42283.65911361,https://edgar.jrc.ec.europa.eu/dataset_ghg80
PRT,Portugal,Annex_I,41281.713501657,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BHR,Bahrain,Non-Annex_I,37955.113181708,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SWE,Sweden,Annex_I,37850.247178836,https://edgar.jrc.ec.europa.eu/dataset_ghg80
IRL,Ireland,Annex_I,37785.564473682,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MMR,Myanmar,Non-Annex_I,37394.014941289,https://edgar.jrc.ec.europa.eu/dataset_ghg80
FIN,Finland,Annex_I,37324.668278738,https://edgar.jrc.ec.europa.eu/dataset_ghg80
AZE,Azerbaijan,Non-Annex_I,37129.629837253,https://edgar.jrc.ec.europa.eu/dataset_ghg80
CHE,Switzerland,Annex_I,36105.176107797,https://edgar.jrc.ec.europa.eu/dataset_ghg80
TUN,Tunisia,Non-Annex_I,35915.389023701,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SVK,Slovakia,Annex_I,35233.240036822,https://edgar.jrc.ec.europa.eu/dataset_ghg80
HKG,Hong Kong,Non-Annex_I,32439.160380108,https://edgar.jrc.ec.europa.eu/dataset_ghg80
NZL,New Zealand,Annex_I,32371.144572043,https://edgar.jrc.ec.europa.eu/dataset_ghg80
TTO,Trinidad and Tobago,Non-Annex_I,29217.400728975,https://edgar.jrc.ec.europa.eu/dataset_ghg80
DNK,Denmark,Annex_I,29158.771572516,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SYR,Syrian Arab Republic,Non-Annex_I,28237.366282394,https://edgar.jrc.ec.europa.eu/dataset_ghg80
